iter	Passed	Remaining
998	11049	16601
999	11060	16591
1000	11070	16578
1001	11084	16571
1002	11096	16561
1003	11108	16552
1004	11118	16540
1005	11129	16528
1006	11141	16518
1007	11151	16505
1008	11162	16494
1009	11174	16485
1010	11185	16473
1011	11196	16462
1012	11208	16453
1013	11221	16444
1014	11232	16434
1015	11245	16425
1016	11258	16417
1017	11273	16411
1018	11287	16405
1019	11300	16396
1020	11316	16392
1021	11332	16388
1022	11345	16380
1023	11358	16372
1024	11371	16364
1025	11382	16352
1026	11400	16351
1027	11408	16336
1028	11421	16327
1029	11432	16315
1030	11540	16442
1031	11570	16459
1032	11586	16454
1033	11603	16451
1034	11618	16445
1035	11633	16439
1036	11650	16435
1037	11666	16431
1038	11678	16422
1039	11691	16413
1040	11702	16401
1041	11713	16389
1042	11722	16375
1043	11732	16362
1044	11742	16349
1045	11759	16346
1046	11771	16336
1047	11782	16325
1048	11791	16309
1049	11801	16297
1050	11810	16283
1051	11820	16270
1052	11840	16270
1053	11906	16335
1054	11935	16347
1055	11957	16350
1056	11965	16335
1057	11975	16322
1058	11983	16306
1059	11994	16294
1060	12002	16278
1061	12011	16264
1062	12019	16248
1063	12028	16233
1064	12038	16221
1065	12048	16207
1066	12059	16196
1067	12070	16184
1068	12081	16172
1069	12090	16158
1070	12099	16143
1071	12107	16128
1072	12117	16114
1073	12126	16100
1074	12137	16088
1075	12146	16074
1076	12156	16061
1077	12164	16046
1078	12175	16034
1079	12186	16023
1080	12195	16008
1081	12203	15992
1082	12211	15977
1083	12219	15961
1084	12227	15946
1085	12235	15930
1086	12243	15916
1087	12252	15901
1088	12265	15891
1089	12274	15877
1090	12282	15862
1091	12290	15847
1092	12299	15832
1093	12306	15816
1094	12314	15800
1095	12323	15786
1096	12331	15771
1097	12339	15755
1098	12347	15740
1099	12356	15726
1100	12365	15711
1101	12374	15698
1102	12384	15685
1103	12392	15670
1104	12401	15655
1105	12409	15641
1106	12417	15625
1107	12424	15609
1108	12432	15594
1109	12441	15579
1110	12449	15565
1111	12458	15550
1112	12466	15535
1113	12474	15520
1114	12482	15505
1115	12491	15490
1116	12498	15475
1117	12507	15460
1118	12516	15447
1119	12528	15436
1120	12540	15427
1121	12550	15414
1122	12578	15424
1123	12608	15435
1124	12623	15428
1125	12632	15414
1126	12643	15403
1127	12655	15392
1128	12663	15378
1129	12674	15366
1130	12683	15352
1131	12693	15340
1132	12705	15330
1133	12715	15317
1134	12727	15306
1135	12738	15294
1136	12746	15280
1137	12758	15269
1138	12855	15360
